Chi Kitchen,Bhopal,12-13- Food Court- DB City Mall- Maharana Pratap Nagar- Bhopal,Chinese,1000,No,No,No,No,4,Very Good,103
Pizza Hut,Bhopal,Third Floor- DB City Mall- Arera Hills- Maharana Pratap Nagar- Bhopal,Pizza,650,No,No,No,No,4.1,Very Good,118
Kafe Kulture,Bhopal,A-66A- Jai Bhawani Housing Society- Bawadiyan Kalan- Gulmohar Colony- Bhopal,Cafe- Fast Food,600,No,No,No,No,3.8,Good,98
Violet Hour,Bhopal,Shop 3-4- Plot 5B- Sai Mehndi Appartment- B.D.A-  Kohefiza Main Road- Kohefiza- Bhopal,Bakery,500,No,No,No,No,3.8,Good,33
Bapu Ki Kutia,Bhopal,Behind Jyoti Cineplex- Zone 1- Maharana Pratap Nagar- Bhopal,North Indian- Chinese- South Indian- Fast Food,550,No,No,No,No,3.5,Good,175
Da pizzeria,Bhopal,177- Zone 2- Maharana Pratap Nagar- Bhopal,Pizza- Italian- Fast Food,500,No,No,No,No,3.6,Good,111
Papa Mexicano,Bhopal,R-24- Zone II- Maharana Pratap Nagar- Bhopal,Fast Food- Mexican- Tex-Mex,350,No,No,No,No,3.6,Good,20
Bake N Shake,Bhopal,Near Jyoti Cineplex- Zone 1- Maharana Pratap Nagar- Bhopal,Fast Food,500,No,No,No,No,4.1,Very Good,103
Manohar Dairy And Restaurant,Bhopal,132- Zone 1- Maharana Pratap Nagar- Bhopal,North Indian- South Indian- Street Food- Bakery,400,No,No,No,No,4.4,Very Good,243
Manohar Dairy And Restaurant,Bhopal,6- Hamidia Road- Opposite Alpana Cineplex- Peer Gate Area- Bhopal,North Indian- South Indian- Street Food- Bakery,400,No,No,No,No,4.1,Very Good,238
Kebabsville - Sayaji Hotel,Bhopal,A-3-Van Vihar Road- Prempura- TT Nagar- Bhopal,North Indian,1800,No,No,No,No,4.3,Very Good,128
Indian Coffee House,Bhopal,Near Apex Bank- TT Nagar- Bhopal,South Indian,500,No,No,No,No,3.9,Good,161
The Urban Socialite,Bhopal,Hotel Lake View Ashoka- 5th Floor- Shyamla Hills- TT Nagar- Bhopal,Italian- Mexican- Chinese,900,No,No,No,No,3.8,Good,79
Bake N Shake,Bhopal,Bhadbhada Road- Near Rang Mahal Talkies- TT Nagar- Bhopal,Fast Food,500,No,No,No,No,4.3,Very Good,120
Tyre Patty,Bhubaneshwar,3rd Floor- BMC Bhawani Mall- Sahid Nagar- Bhubaneshwar,Cafe,500,No,No,No,No,3.9,Good,289
Silver Streak,Bhubaneshwar,Ground Floor- BMC Bhawani Mall- Sahid Nagar- Bhubaneshwar,Chinese,550,No,No,No,No,4.1,Very Good,379
Barbeque Nation,Bhubaneshwar,Plot 12-13/557- 3rd Floor- Mauza Samantapuri-Gajapati Nagar- Chandrasekharpur- Bhubaneshwar,Mediterranean- Asian- Continental- North Indian- Arabian,1200,No,No,No,No,4.6,Excellent,154
Central Perk 7,Bhubaneshwar,Plot 133/A- District Center- Chandrasekharpur- Bhubaneshwar,Cafe- Charcoal Grill- Steak,600,No,No,No,No,4.5,Excellent,145
The Chicken Dinesty,Bhubaneshwar,District Center- Niladri Vihar Road- Chandrasekharpur- Bhubaneshwar,Fast Food- North Indian- Chinese,500,No,No,No,No,3.9,Good,247
Taste Of China,Bhubaneshwar,139- District Center- Chandrasekharpur- Bhubaneshwar,Chinese,500,No,No,No,No,4,Very Good,145
Michael's Kitchen,Bhubaneshwar,7798- Sainik School Road- Gajapati Nagar- Bhubaneswar- Gajapati Nagar- Bhubaneshwar,North Indian- Asian- European,850,No,No,No,No,3.7,Good,118
Mamma Mia - Mayfair Lagoon,Bhubaneshwar,Mayfair Lagoon- 8-B- Jayadev Vihar- Bhubaneshwar,Cafe- Italian- Mexican- Bakery,1400,No,No,No,No,4.1,Very Good,256
99 North Restaurant,Bhubaneshwar,B36- Chandaka Industrial Estate- Near CTTC- Patia- Bhubaneshwar,North Indian- Chinese,450,No,No,No,No,3.6,Good,173
Adda,Bhubaneshwar,4th Floor- SJ Complex- KIIT College Road- Patia- Bhubaneshwar,North Indian- Chinese- Mexican- Beverages,600,No,No,No,No,3.8,Good,424
Chill Ummm,Bhubaneshwar,DS Tower- 2nd Floor- Plot 516/1763/4177- Near Big Bazar- Patia- Bhubaneshwar,Chinese- North Indian- Cafe,450,No,No,No,No,3.7,Good,338
Lal Qila,Bhubaneshwar,Sampark Vihar- Opposite Big Bazaar- KIIT Square- Patia- Bhubaneshwar,Mughlai- Chinese- North Indian,500,No,No,No,No,3.7,Good,228
Richard's Kitchen & Coffee Bar,Bhubaneshwar,Rooftop Bata Showroom- KIIT Square- Patia- Bhubaneshwar,Cafe- Chinese- Fast Food- Seafood,450,No,No,No,No,3.8,Good,253
Aangan Horizon,Bhubaneshwar,Above Patia Pantaloons- Nandankanan Road- Patia- Bhubaneshwar,North Indian- Chinese- Continental,900,No,No,No,No,4,Very Good,90
Brewberrys The Coffee Bar,Bhubaneshwar,3- Infocity Road- Patia- Bhubaneshwar,Cafe,400,No,No,No,No,4,Very Good,197
Chai Break,Bhubaneshwar,KIIT Road- PS Plaza- Patia- Bhubaneshwar,Italian- Cafe- Chinese- Continental,800,No,No,No,No,4.3,Very Good,69
JUGAAD JN.,Bhubaneshwar,KIIT Road- Opposite SBI- Patia- Bhubaneshwar,North Indian- Rajasthani,300,No,No,No,No,4.1,Very Good,199
Cha cTea,Bhubaneshwar,797- Near Shivam Honda Showroom- Sahid Nagar- Bhubaneshwar,Cafe- Tea,500,No,No,No,No,3.8,Good,56
Food Fever,Bhubaneshwar,A-54- Opposite Law University- Sahid Nagar- Bhubaneshwar,Chinese- North Indian,900,No,No,No,No,4.2,Very Good,49
Mainland China,Bhubaneshwar,The Crown- A1- Near IRC Village- Nayapalli- Bhubaneshwar,Chinese,1500,No,No,No,No,4.3,Very Good,345
Eram Rooftop,Bhubaneshwar,206- 3rd Floor- Suryansh Enclave- Shastri Nagar- Unit 4- Bhubaneshwar,Asian- Continental,400,No,No,No,No,3.5,Good,89
